imdbId,title,releaseYear,releaseDate,genre,actors,directors,sequel,hitFlop
tt0118578,Albela,2001,20-Apr-01,Romance,Govinda | Aishwarya Rai Bachchan | Jackie Shroff | Namrata Shirodkar,Deepak Sareen,0,2
tt0169102,Lagaan: Once Upon a Time in India,2001,08-May-02,Adventure | Drama | Musical,Aamir Khan | Gracy Singh | Rachel Shelley | Paul Blackthorne,Ashutosh Gowariker,0,6
tt0187279,Meri Biwi Ka Jawab Nahin,2004,02-Jul-04,Action | Comedy,Akshay Kumar | Sridevi | Gulshan Grover | Laxmikant Berde,Pankaj Parashar | S.M. Iqbal,0,1
tt0222024,Hum Tumhare Hain Sanam,2002,24-May-02,Drama | Romance,Shah Rukh Khan | Madhuri Dixit | Salman Khan | Atul Agnihotri,K.S. Adiyaman,0,4
tt0227194,One 2 Ka 4,2001,30-Mar-01,Action | Comedy | Drama,Shah Rukh Khan | Juhi Chawla | Jackie Shroff | Nirmal Pandey,Shashilal K. Nair,0,1
tt0238936,Devdas,2002,12-Jul-02,Musical | Romance,Shah Rukh Khan | Madhuri Dixit | Aishwarya Rai Bachchan | Jackie Shroff,Sanjay Leela Bhansali,0,6
tt0247911,Aap Mujhe Achche Lagne Lage,2002,19-Apr-02,Action | Drama | Romance,Hrithik Roshan | Ameesha Patel | Kiran Kumar | Mukesh Tiwari,Vikram Bhatt,0,2
tt0248126,Kabhi Khushi Kabhie Gham...,2001,14-Dec-01,Drama | Musical | Romance,Amitabh Bachchan | Jaya Bhaduri | Shah Rukh Khan | Kajol,Karan Johar,0,8
tt0248216,Na Tum Jaano Na Hum,2002,10-May-02,Comedy | Drama | Musical,Saif Ali Khan | Hrithik Roshan | Esha Deol | Alok Nath,Arjun Sablok,0,1
tt0248617,Yaadein...,2001,27-Jun-01,Musical | Drama | Romance,Jackie Shroff | Hrithik Roshan | Kareena Kapoor | Amrish Puri,Subhash Ghai,0,2
tt0255713,Zubeidaa,2001,19-Jan-01,Adventure | Biography | Drama,Karisma Kapoor | Rekha | Manoj Bajpayee | Rajit Kapoor,Shyam Benegal,0,1
tt0256692,Chori Chori Chupke Chupke,2001,09-Mar-01,Drama | Musical | Romance,Preity Zinta | Salman Khan | Rani Mukerji | Amrish Puri,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,0,5
tt0265148,Main Prem Ki Diwani Hoon,2003,27-Jun-03,Musical | Drama | Romance,Hrithik Roshan | Kareena Kapoor | Abhishek Bachchan | Johnny Lever,Sooraj R. Barjatya,0,2
tt0265452,Officer,2001,14-Mar-01,Action | Crime | Drama,Sunil Shetty | Raveena Tandon | Danny Denzongpa | Sadashiv Amrapurkar,Naeem Sha,0,2
tt0267363,Chandni Bar,2001,28-Sep-01,Crime | Drama,Tabu | Atul Kulkarni | Rajpal Yadav | Shri Vallabh Vyas,Madhur Bhandarkar,0,5
tt0271604,Kuch Khatti Kuch Meethi,2001,19-Jan-01,Drama | Family,Kajol | Rishi Kapoor | Rati Agnihotri | Sunil Shetty,Rahul Rawail,0,2
tt0272543,Censor,2001,14-Feb-01,Musical | Romance,Dev Anand | Hema Malini | Shammi Kapoor | Rekha,Dev Anand,0,1
tt0272607,Farz,2001,12-Jan-01,Action,Sunny Deol | Preity Zinta | Jackie Shroff | Om Puri,Raj Kanwar,0,4
tt0272735,Mujhe Meri Biwi Se Bachaao,2001,18-Jun-01,Comedy | Musical | Family,Rekha | Naseeruddin Shah | Arshad Warsi | Suman Ranganathan,Harry Baweja,0,1
tt0272736,Mujhse Dosti Karoge!,2002,09-Aug-02,Musical | Romance | Drama,Rani Mukerji | Hrithik Roshan | Kareena Kapoor | Uday Chopra,Kunal Kohli,0,2
tt0273164,Daman: A Victim of Marital Violence,2001,04-May-01,Drama | Family,Raveena Tandon | Sayaji Shinde | Sanjay Suri | Raima Sen,Kalpana Lajmi,0,1
tt0273406,Aashiq,2001,26-Jan-01,Action | Comedy | Drama,Bobby Deol | Rahul Dev | Dinesh Hingoo | Vrajesh Hirjee,Indra Kumar,0,3
tt0273535,Dil Ne Phir Yaad Kiya,2001,N/A,Drama | Musical | Romance,Sadashiv Amrapurkar | Vinay Anand | Pooja Batra | Govinda,Rajat Rawail,0,1
tt0274019,Pyaar Diwana Hota Hai,2002,26-Apr-02,Romance,Rani Mukerji | Govinda | Om Puri | Laxmikant Berde,Kirti Kumar,0,1
tt0275381,Grahan,2001,16-Feb-01,Drama | Romance,Jackie Shroff | Manisha Koirala | Anupama Verma | Prasad Purandhare,Shashilal K. Nair,0,1
